Nome Scarpa,Prezzo,Genere,Categoria,URL,Taglie,Range taglie,Colore
Sneaker Jor White,99.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-jor-white/](https://www.altrotipo.it/sneaker-jor-white/),"36, 37, 38, 41, 42, 43",36-43,Bianco
Sneaker Cheatah Total Black,115.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-total](https://www.altrotipo.it/sneaker-cheatah-total)...,"38, 39, 40, 41, 43",38-43,Nero
Stivaletto Microfibra Eco Chamois Free,135.0,Uomo,Stivaletti,[https://www.altrotipo.it/stivaletto-microfibra](https://www.altrotipo.it/stivaletto-microfibra)...,43,43-43,blu
Sneaker Vegan Hade Grey,99.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-vegan-hade-grey/](https://www.altrotipo.it/sneaker-vegan-hade-grey/),"42, 43",42-43,Grigio
Stivaletto Microfibra Eco Vegan,135.0,Uomo,Stivaletti,[https://www.altrotipo.it/stivaletto-microfibra](https://www.altrotipo.it/stivaletto-microfibra)...,"42, 43",42-43,blu
SNEAKER ALTA VEGGY DREAM HI TOP,115.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-alta-veggy-dr](https://www.altrotipo.it/sneaker-alta-veggy-dr)...,43,43-43,blu
Scarpa Trekking Approach Black,159.0,Uomo,Scarpa,[https://www.altrotipo.it/scarpa-trekking-appro](https://www.altrotipo.it/scarpa-trekking-appro)...,"41, 42",41-42,Nero
Stivaletto Dock Tan,129.0,Uomo,Stivaletti,[https://www.altrotipo.it/stivaletto-dock-tan/](https://www.altrotipo.it/stivaletto-dock-tan/),"40, 41, 42, 43",40-43,blu
Kalahari Black,85.0,Uomo,Altro,[https://www.altrotipo.it/kalahari-black/](https://www.altrotipo.it/kalahari-black/),"37, 38, 39, 42, 43",37-43,Nero
Sneaker Cheatah Dark Grey,115.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-dark-](https://www.altrotipo.it/sneaker-cheatah-dark-)...,"37, 38, 41, 43",37-43,Grigio
Sneaker Cheatah Pinatex Black,119.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-pinat](https://www.altrotipo.it/sneaker-cheatah-pinat)...,"37, 38, 39, 40, 41, 42",37-42,Nero
Etna Boot Camel,139.0,Uomo,Stivaletti,[https://www.altrotipo.it/etna-boot-camel/](https://www.altrotipo.it/etna-boot-camel/),"36, 37, 38, 39, 40",36-40,blu
Sneaker Ocean Unisex Blue,99.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-ocean-unisex-](https://www.altrotipo.it/sneaker-ocean-unisex-)...,"38, 40",38-40,Blu
Sneaker Ocean Unisex Red,99.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-ocean-unisex-](https://www.altrotipo.it/sneaker-ocean-unisex-)...,37,37-37,Rosso
Sneaker Ocean Unisex Black,99.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-ocean-unisex-](https://www.altrotipo.it/sneaker-ocean-unisex-)...,"36, 37, 38, 39",36-39,Nero
Sneaker Jor Black,99.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-jor-black/](https://www.altrotipo.it/sneaker-jor-black/),"37, 38, 39, 41, 43",37-43,Nero
Microair Black,119.0,Uomo,Altro,[https://www.altrotipo.it/microair-black/](https://www.altrotipo.it/microair-black/),"44, 46",44-46,Nero
Runner Oakes Cross,112.0,Uomo,Scarpa,[https://www.altrotipo.it/runner-oakes-cross/](https://www.altrotipo.it/runner-oakes-cross/),"36, 38, 40, 42, 43, 45, 46",36-46,blu
Scarpa Pythagoras Black,65.0,Uomo,Scarpa,[https://www.altrotipo.it/scarpa-pythagoras-black/](https://www.altrotipo.it/scarpa-pythagoras-black/),"36, 41, 42, 43",36-43,Nero
Sneaker Sidd Black Shanty,65.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-sidd-black-sh](https://www.altrotipo.it/sneaker-sidd-black-sh)...,"39, 41, 42, 43, 44",39-44,Nero
Sneaker Diogenes Green,65.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-diogenes-green/](https://www.altrotipo.it/sneaker-diogenes-green/),"36, 37, 38, 39",36-39,Verde
Sneaker Cuvier Marine,65.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-cuvier-marine/](https://www.altrotipo.it/sneaker-cuvier-marine/),"39, 40, 41, 42",39-42,blu
Polacchina Nera Alta,89.0,Uomo,Stivaletti,[https://www.altrotipo.it/polacchina-nera-alta/](https://www.altrotipo.it/polacchina-nera-alta/),"36, 38, 40, 42, 44",36-44,blu
Polacco Classico Basso Nero,89.0,Uomo,Stivaletti,[https://www.altrotipo.it/polacco-classico-bass](https://www.altrotipo.it/polacco-classico-bass)...,"39, 41, 42",39-42,Nero
Anfibio Aviator Dark Brown,115.0,Uomo,Anfibi,[https://www.altrotipo.it/anfibio-aviator-dark-](https://www.altrotipo.it/anfibio-aviator-dark-)...,"38, 41, 44",38-44,Marrone
Sneaker Basic Black Pinatex,99.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-basic-black-p](https://www.altrotipo.it/sneaker-basic-black-p)...,"44, 45",44-45,Nero
Biker Boots Black,125.0,Uomo,Stivaletti,[https://www.altrotipo.it/biker-boots-black/](https://www.altrotipo.it/biker-boots-black/),"36, 37, 38, 40, 41, 42",36-42,Nero
Scarpa Oliver grey,125.0,Uomo,Scarpa,[https://www.altrotipo.it/scarpa-oliver-grey/](https://www.altrotipo.it/scarpa-oliver-grey/),"36, 37, 38, 42, 44",36-44,Grigio
Scarpa Acme nero,139.0,Uomo,Scarpa,[https://www.altrotipo.it/scarpa-acme-nero/](https://www.altrotipo.it/scarpa-acme-nero/),"44, 45/46",44-44,Nero
Etna Boot Black,139.0,Uomo,Stivaletti,[https://www.altrotipo.it/etna-boot-black/](https://www.altrotipo.it/etna-boot-black/),"36, 37, 38, 39",36-39,Nero
Anfibio Combat Boot,169.0,Uomo,Anfibi,[https://www.altrotipo.it/anfibio-combat-boot/](https://www.altrotipo.it/anfibio-combat-boot/),"38, 39, 40, 43",38-43,blu
Walk Him nera,129.0,Uomo,Altro,[https://www.altrotipo.it/walk-him-nera/](https://www.altrotipo.it/walk-him-nera/),40,40-40,blu
Sneaker Kennedy black,99.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-kennedy-black/](https://www.altrotipo.it/sneaker-kennedy-black/),"40, 42, 44",40-44,Nero
Chevron Olive,109.0,Uomo,Altro,[https://www.altrotipo.it/chevron-olive/](https://www.altrotipo.it/chevron-olive/),"36, 37, 38, 39, 41, 43",36-43,blu
Scarpa NG21T Yugen nero,109.0,Uomo,Scarpa,[https://www.altrotipo.it/scarpa-ng21t-yugen-nero/](https://www.altrotipo.it/scarpa-ng21t-yugen-nero/),"36, 39, 40, 44",36-44,Nero
Anfibio Airseal Boulder Black,159.0,Uomo,Anfibi,[https://www.altrotipo.it/anfibio-airseal-bould](https://www.altrotipo.it/anfibio-airseal-bould)...,"37, 38, 39, 40, 42, 43, 46",37-46,Nero
Scarpa trekking Approach Mid marrone,149.0,Uomo,Scarpa,[https://www.altrotipo.it/scarpa-trekking-appro](https://www.altrotipo.it/scarpa-trekking-appro)...,"36, 38, 42, 43, 45",36-45,Marrone
Scarponcino Retread marrone,99.0,Uomo,Stivaletti,[https://www.altrotipo.it/scarponcino-retread-m](https://www.altrotipo.it/scarponcino-retread-m)...,"36, 45, 47",36-47,Marrone
Sneaker Cheatah Blu,115.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-blu/](https://www.altrotipo.it/sneaker-cheatah-blu/),"37, 38, 39, 40, 41, 42, 43, 44, 45",37-45,blu
Scarpa Derby nero,135.0,Uomo,Scarpa,[https://www.altrotipo.it/scarpa-derby-nero/](https://www.altrotipo.it/scarpa-derby-nero/),"41, 43, 44",41-44,Nero
Sneaker bounty marrone,145.0,Uomo,Sneakers,[https://www.altrotipo.it/sneaker-bounty-marrone/](https://www.altrotipo.it/sneaker-bounty-marrone/),"37, 39, 42",37-42,Marrone
