nome_prodotto,prezzo,link,sesso,categoria,range taglie,taglie,colore,descrizione,brand,fascia_prezzo
OKINA Black,110.0,https://nae-vegan.com/it-it/products/okina_black_vegan_sandals,donna,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Sandali vegani dal design eco-compatibile e dal tacco alto,Nae,"100–119,99€"
OKINA Green,110.0,https://nae-vegan.com/it-it/products/okina_green_vegan_sandals,donna,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,Sandali vegani dal design ecologico ed ecocompatibile,Nae,"100–119,99€"
TONGA Black,110.0,https://nae-vegan.com/it-it/products/tonga_black_vegan_sandals,donna,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Sandali vegani con un design ecologico a tripla fascia,Nae,"100–119,99€"
TONGA Green,110.0,https://nae-vegan.com/it-it/products/tonga_green_vegan_sandals,donna,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,Sandali vegani con un design ecologico a tripla fascia,Nae,"100–119,99€"
DAVU Black,110.0,https://nae-vegan.com/it-it/products/davu_nera_sandali_vegani,donna,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Sandali vegani con cinturino incrociato e design a punta,Nae,"100–119,99€"
DAVU Green,110.0,https://nae-vegan.com/it-it/products/davu_verde_sandali_vegani,donna,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,Sandali vegani con cinturini incrociati di colore verde,Nae,"100–119,99€"
LAU Black,110.0,https://nae-vegan.com/it-it/products/lau_neri_sandali_vegani,donna,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Sandali vegani con cinturino parallelo e design a punta,Nae,"100–119,99€"
LAU Green,110.0,https://nae-vegan.com/it-it/products/lau_verdi_sandali_vegani,donna,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,Sandali vegani con cinturini verdi paralleli,Nae,"100–119,99€"
TUPAI Black,85.0,https://nae-vegan.com/it-it/products/tupai_black_pinatex,donna,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Sandali vegani anatomici con design criss-cross in Piñatex,Nae,"80–99,99€"
TUPAI Green,85.0,https://nae-vegan.com/it-it/products/tupai_green_pinatex_36,donna,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,,Nae,"80–99,99€"
TANNA Black,85.0,https://nae-vegan.com/it-it/products/tanna_black_pinatex,donna,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Sandali vegani anatomici con design incrociato verde,Nae,"80–99,99€"
TANNA Green,85.0,https://nae-vegan.com/it-it/products/tanna_green_pinatex,donna,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Anatomical shape vegan sandals with intertwined strap design,Nae,"80–99,99€"
DESA Brown,110.0,https://nae-vegan.com/it-it/products/desa_brown_cork,donna,Sandali,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Sandali Desa Vegan - Sandali in sughero sostenibili,Nae,"100–119,99€"
MINA Black,115.0,https://nae-vegan.com/it-it/products/mina_black_appleskin,donna,Tacchi,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Sandali vegani con pelle di mele sostenibile ed eleganza.,Nae,"100–119,99€"
LISA Black,115.0,https://nae-vegan.com/it-it/products/lisa_black,donna,Tacchi,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Eleganti scarpe vegane con tacco a spillo dal design moderno,Nae,"100–119,99€"
DIANA Black,110.0,https://nae-vegan.com/it-it/products/diana_black,donna,Sandali,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Scarpe Diana Black Vegan - Calzature chic e sostenibili,Nae,"100–119,99€"
DIANA Beige,110.0,https://nae-vegan.com/it-it/products/diana_beige,donna,Sandali,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Beige,Ballerine vegane chic dal design intramontabile ed ecologico,Nae,"100–119,99€"
ADEL Beige,120.0,https://nae-vegan.com/it-it/products/adel_beige,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Beige,Eleganti scarpe slingback vegane con un fascino senza tempo,Nae,>=120€
JAQUE Beige,95.0,https://nae-vegan.com/it-it/products/jaque-beige,donna,Tacchi,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Beige,Jaque Scarpe vegane beige e nere con tacco,Nae,"80–99,99€"
ANGE Brown,125.0,https://nae-vegan.com/it-it/products/ange-brown,donna,Sandali,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Ange,Nae,>=120€
AURE Black,99.0,https://nae-vegan.com/it-it/products/aure-black,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Ballerine vegane nere Aure in pelle di mela,Nae,"80–99,99€"
BASIL Black,99.0,https://nae-vegan.com/it-it/products/basil-black,donna,Scarpe Piatte,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Basil Nero Sandali vegani con cinturini alla caviglia,Nae,"80–99,99€"
BASIL Red,99.0,https://nae-vegan.com/it-it/products/basil-red,donna,Scarpe Piatte,36 - 41,"['36', '37', '38', '39', '40', '42', '41']",Red,Sandali vegani Basil Red con cinturini alla caviglia,Nae,"80–99,99€"
CORA CORK Brown,105.0,https://nae-vegan.com/it-it/products/cora-cork-brown,donna,Tacchi,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Sandali vegani con tacco medio Cora in sughero,Nae,"100–119,99€"
CORA MICRO Black,105.0,https://nae-vegan.com/it-it/products/cora-micro-black,donna,Tacchi,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Sandali vegani con tacco medio Cora in nero,Nae,"100–119,99€"
CORA PINATEX Red,105.0,https://nae-vegan.com/it-it/products/cora-pinatex-red,donna,Tacchi,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Red,Sandali vegani con tacco medio Cora in rosso,Nae,"100–119,99€"
DEVAN Black,120.0,https://nae-vegan.com/it-it/products/devan-black,donna,Tacchi,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Tacchi Devan Nero Vegan in Pelle di Mela,Nae,>=120€
