nome_prodotto,taglie_prodotto,marca,genere,tipologia,lista_prezzo,lista_colori,brand
V-10 CWL WHITE NATURAL,22-35,Veja,Unisex,Sneaker,95 €,WHITE NATURAL,Veja
V-10 CWL WHITE MARSALA ORANGE FLUO,22-35,Veja,Unisex,Sneaker,95 €,ORANGE FLUO,Veja
VOLLEY ELASTIC LACES CANVAS WHITE BLACK NATURAL,22-35,Veja,Unisex,Sneaker,85 €,BLACK NATURAL,Veja
VOLLEY ELASTIC LACES CANVAS BLACK WHITE NATURAL,22-35,Veja,Unisex,Sneaker,85 €,WHITE NATURAL,Veja
CANARY ELASTIC LACES ALVEOMESH GRAVEL MALIBU SILVER,22-35,Veja,Unisex,Sneaker,95 €,MALIBU SILVER,Veja
CANARY ELASTIC LACES ALVEOMESH PARME WHITE,22-35,Veja,Unisex,Sneaker,95 €,PARME WHITE,Veja
CANARY ELASTIC LACES ALVEOMESH GRAVEL BRITTANY,22-35,Veja,Unisex,Sneaker,95 €,GRAVEL BRITTANY,Veja
CANARY ELASTIC LACES NAUTICO PIERRE BLACK,22-35,Veja,Unisex,Sneaker,95 €,PIERRE BLACK,Veja
V-10 CWL WHITE MAGENTA SARI,22-35,Veja,Unisex,Sneaker,95 €,MAGENTA SARI,Veja
V-10 CWL WHITE BLACK,22-35,Veja,Unisex,Sneaker,95 €,WHITE BLACK,Veja
V-10 CWL WHITE COBALT PEKIN,22-35,Veja,Unisex,Sneaker,95 €,COBALT PEKIN,Veja
V-10 MID CWL WHITE COBALT ORANGE FLUO,22-35,Veja,Unisex,Sneaker,115 €,ORANGE FLUO,Veja
OLLIE CANVAS WHITE PIERRE,22-35,Veja,Unisex,Sneaker,69 €,WHITE PIERRE,Veja
OLLIE CANVAS OASIS PIERRE,22-35,Veja,Unisex,Sneaker,69 €,OASIS PIERRE,Veja
OLLIE CANVAS MARINE PIERRE,22-35,Veja,Unisex,Sneaker,69 €,MARINE PIERRE,Veja
OLLIE CANVAS CANYON PIERRE,22-35,Veja,Unisex,Sneaker,69 €,CANYON PIERRE,Veja
CANARY ELASTIC LACES ALVEOMESH WHITE PLATINE,22-35,Veja,Unisex,Sneaker,95 €,WHITE PLATINE,Veja
CANARY ELASTIC LACES ALVEOMESH NAUTICO OXFORD GREY,22-35,Veja,Unisex,Sneaker,95 €,OXFORD GREY,Veja
CANARY ELASTIC LACES ALVEOMESH GREY CALIFORNIA SILVER,22-35,Veja,Unisex,Sneaker,95 €,CALIFORNIA SILVER,Veja
CANARY ELASTIC LACES ALVEOMESH GRAFITE TONIC,22-35,Veja,Unisex,Sneaker,95 €,GRAFITE TONIC,Veja
V-10 CWL WHITE COBALT PEKIN,22-35,Veja,Unisex,Sneaker,105 €,COBALT PEKIN,Veja
V-10 CWL WHITE PLATINE SILVER,22-35,Veja,Unisex,Sneaker,105 €,PLATINE SILVER,Veja
V-10 CWL WHITE PIERRE ROSE FLUO,22-35,Veja,Unisex,Sneaker,105 €,ROSE FLUO,Veja
V-10 CWL WHITE PIERRE EMERAUDE,22-35,Veja,Unisex,Sneaker,105 €,PIERRE EMERAUDE,Veja
BABY CANVAS POKER PIERRE,22-35,Veja,Unisex,Sneaker,49 €,POKER PIERRE,Veja
BABY CANVAS OASIS PIERRE,22-35,Veja,Unisex,Sneaker,49 €,OASIS PIERRE,Veja
BABY CANVAS CALIFORNIA PEKIN,22-35,Veja,Unisex,Sneaker,49 €,CALIFORNIA PEKIN,Veja
BABY CANVAS DUNE CALIFORNIA,22-35,Veja,Unisex,Sneaker,49 €,DUNE CALIFORNIA,Veja
CANARY ELASTIC LACES ALVEOMESH WHITE PIERRE,22-35,Veja,Unisex,Sneaker,95 €,WHITE PIERRE,Veja
CANARY ELASTIC LACES ALVEOMESH BLACK PIERRE,22-35,Veja,Unisex,Sneaker,95 €,BLACK PIERRE,Veja
CANARY ELASTIC LACES ALVEOMESH WHITE INDIGO,22-35,Veja,Unisex,Sneaker,95 €,WHITE INDIGO,Veja
CANARY ELASTIC LACES ALVEOMESH PUMPKIN WHITE,22-35,Veja,Unisex,Sneaker,95 €,PUMPKIN WHITE,Veja
FLIP ELASTIC LACES CANVAS BLACK PIERRE,22-35,Veja,Unisex,Sneaker,69 €,BLACK PIERRE,Veja
FLIP ELSATIC LACES CANVAS BABE PIERRE,22-35,Veja,Unisex,Sneaker,69 €,BABE PIERRE,Veja
FLIP ELSATIC LACES CANVAS PAROS PIERRE,22-35,Veja,Unisex,Sneaker,69 €,PAROS PIERRE,Veja
FLIP ELASTIC LACES CANVAS POKER PIERRE,22-35,Veja,Unisex,Sneaker,69 €,POKER PIERRE,Veja
CANARY ELASTIC LACES ALVEOMESH STEEL WHITE,22-35,Veja,Unisex,Sneaker,95 €,STEEL WHITE,Veja
CANARY ELASTIC LACES ALVEOMESH NATURAL LOTUS,22-35,Veja,Unisex,Sneaker,95 €,NATURAL LOTUS,Veja
CANARY ELASTIC LACES ALVEOMESH NAUTICO AQUA,22-35,Veja,Unisex,Sneaker,95 €,NAUTICO AQUA,Veja
CANARY ELASTIC LACES ALVEOMESH NATURAL BABE,22-35,Veja,Unisex,Sneaker,95 €,NATURAL BABE,Veja
OLLIE CANVAS POKER PIERRE,22-35,Veja,Unisex,Sneaker,69 €,POKER PIERRE,Veja
OLLIE CANVAS WHITE LOTUS,22-35,Veja,Unisex,Sneaker,69 €,WHITE LOTUS,Veja
OLLIE CANVAS COSMOS PIERRE,22-35,Veja,Unisex,Sneaker,69 €,COSMOS PIERRE,Veja
OLLIE CANVAS BUTTER WHITE,22-35,Veja,Unisex,Sneaker,69 €,BUTTER WHITE,Veja
CANARY ELASTIC LACES ALVEOMESH POKER JADE,22-35,Veja,Unisex,Sneaker,95 €,POKER JADE,Veja
CANARY ELASTIC LACES ALVEOMESH NATURAL VENUS,22-35,Veja,Unisex,Sneaker,95 €,NATURAL VENUS,Veja
